mass,recclass,year,reclat,reclong
633,H5,2000,49.600000,18.533330
1300,H5,1875,44.600000,5.133330
1500,H6,1868,26.833330,77.333330
9150,H4,1868,45.200000,8.500000
11300,H6,1902,-29.800000,141.700000
110000,L5,1991,18.700000,4.800000
4400,L5,1865,12.633330,77.016670
4703,L6,1924,24.500000,90.216670
8165,H5,1956,12.000000,1.000000
1810,L6,1922,38.121670,140.061670
6100,L5,1895,49.166670,19.500000
23200,L6,1923,13.733330,100.083330
4500,H5,1886,12.283330,79.200000
52900,L6,1917,35.666670,103.500000
7500,H6,1825,38.416670,-77.166670
529,H6,1984,32.116670,121.800000
17000,H6,1928,19.250000,77.000000
2700,H6,1974,33.750000,51.500000
367.5,L6,1928,-34.050000,150.688890
347,H4,1936,-21.733330,165.900000
420,L6,1995,36.449170,136.465280
2450,L6,1970,9.500000,35.333330
10250,L6,1864,56.500000,21.500000
230000,L6,1860,40.000000,-81.766670
12000,L4,1994,15.366670,35.683330
19256,H5,2003,29.947180,-90.109760
3.3,L6,1967,null,null
3.3,LL6,1967,null,null
3996,H4,1935,52.450000,78.633330
6000,L4,1954,56.116670,37.333330
472,L6,860,33.725000,130.750000
177,H4,1971,45.291670,11.527220
250,L6,1933,42.916670,102.466670
50000,H5,1978,24.300000,-102.133330
5000,H6,1851,41.633330,0.750000
363,H4,1925,43.333330,141.866670
1100,LL5,1914,47.550000,22.025000
500000,H4,1887,57.783330,55.266670
1400,H5,1927,52.283330,8.050000
6000,L6,1855,58.500000,23.000000
3750,L6,1900,47.883330,22.033330
14360,H6,1741,33.283330,130.200000
16250,H5,1857,46.066670,23.583330
7700,L5,1963,6.750000,8.500000
5850,L6,1926,38.183330,-5.400000
194,H5,1958,36.183330,139.216670
12000,LL6,1834,50.833330,25.500000
16570,L6,1930,52.950000,8.166670
150000,LL5,1924,38.716670,-7.066670
40000,H5,1929,39.566670,-2.100000
3400,H6,1872,42.133330,12.933330
246,L6,1928,58.883330,9.400000
840,LL6,1896,38.600000,-95.216670
4440,L5,2003,12.900000,0.080000
1215.5,LL6,1986,30.180000,-6.577170
20000,H4,1998,37.608330,-8.280000
121.5,L6,1900,-18.000000,16.000000
205,H5,1856,43.400000,-5.866670
3400,L6,1881,21.050000,-99.300000
515,H6,1910,17.743330,120.455830
1430,L5,1988,-23.116670,-65.100000
682,H5,1949,21.300000,-157.783330
10500,L5,1859,15.083330,120.700000
2130,H5,1938,8.066670,124.283330
408000,LL5,1930,36.066670,-90.500000
2000,LL5,1967,-6.233330,-40.700000
100000,L6,1956,-19.133330,-51.666670
18000,L5,2003,41.484720,-87.679170
4375,H6,1969,20.936940,82.050000
2121,L6,1950,-19.533330,-48.566670
2968,H5,1966,43.466670,25.516670
142.5,H5,1938,52.300000,77.033330
40000,L6,1826,48.533330,35.983330
null,L6,1989,11.333670,-3.542170
45760,L6,1963,56.133330,-117.933330
12570,H6,1992,41.283330,-73.916670
23474,L6,1935,23.325000,91.000000
2,LL5,1830,56.400000,-3.433330
66000,L6,1933,56.633330,39.433330
189,H5,1995,14.052000,0.420000
57900,L6,1901,40.000000,-99.250000
500,H4,1887,11.250000,108.583330
7800,H4,1933,12.000000,105.483330
11000,L5,1941,15.716670,108.100000
842,L6,1882,25.800000,88.450000
