continent,total_cases
Africa,60
Africa,74
Africa,87
Africa,90
Africa,139
Africa,201
Africa,230
Africa,264
Africa,302
Africa,367
Africa,409
Africa,454
Africa,511
Africa,584
Africa,716
Africa,847
Africa,986
Africa,1171
Africa,1251
Africa,1320
Africa,1423
Africa,1468
Africa,1572
Africa,1666
Africa,1761
Africa,1825
Africa,1914
Africa,1983
Africa,2070
Africa,2160
Africa,2268
Africa,2418
Africa,2534
Africa,2629
Africa,2718
Africa,2811
Africa,2910
Africa,3007
Africa,3127
Africa,3256
Africa,3382
Africa,3517
Africa,3649
Africa,3848
Africa,4006
Africa,4154
Africa,4295
Africa,4474
Africa,4648
Africa,4838
Africa,4997
Africa,5182
Africa,5369
Africa,5558
Africa,5723
Africa,5891
Africa,6067
Africa,6253
Africa,6442
Africa,6629
Africa,6821
Africa,7019
Africa,7201
Africa,7377
Africa,7542
Africa,7728
Africa,7918
Africa,8113
Africa,8306
Africa,8503
Africa,8697
Africa,8857
Africa,8997
Africa,9134
Africa,9267
Africa,9394
Africa,9513
Africa,9626
Africa,9733
Africa,9831
Africa,9935
Africa,10050
Africa,10154
Africa,10265
Africa,10382
Africa,10484
Africa,10589
Africa,10698
Africa,10810
Africa,10919
Africa,11031
Africa,11147
Africa,11268
Africa,11385
Africa,11504
Africa,11631
Africa,11771
Africa,11920
Africa,12076
Africa,12248
Africa,12445
Africa,12685
Africa,12968
Africa,13273
Africa,13571
Africa,13907
Africa,14272
Africa,14657
Africa,15070
Africa,15500
Africa,15941
Africa,16404
Africa,16879
Africa,17348
Africa,17808
Africa,18242
Africa,18712
Africa,19195
Africa,19689
Africa,20216
Africa,20770
Africa,21355
Africa,21948
Africa,22549
Africa,23084
Africa,23691
Africa,24278
Africa,24872
Africa,25484
Africa,26159
Africa,26764
Africa,27357
Africa,27973
Africa,28615
Africa,29229
Africa,29831
Africa,30394
Africa,30950
Africa,31465
Africa,31972
Africa,32504
Africa,33055
Africa,33626
Africa,34155
Africa,34693
Africa,35160
Africa,35712
Africa,36204
Africa,36699
Africa,37187
Africa,37664
Africa,38133
Africa,38583
Africa,39025
Africa,39444
Africa,39847
Africa,40258
Africa,40667
Africa,41068
Africa,41460
Africa,41858
Africa,42228
Africa,42619
Africa,43016
Africa,43403
Africa,43781
Africa,44146
Africa,44494
Africa,44833
Africa,45158
Africa,45469
Africa,45773
Africa,46071
Africa,46364
Africa,46653
Africa,46938
Africa,47216
Africa,47488
Africa,47752
Africa,48007
Africa,48254
Africa,48496
Africa,48734
Africa,48966
Africa,49194
Africa,49413
Africa,49623
Africa,49826
Africa,50023
Africa,50214
Africa,50400
Africa,50579
Africa,50754
Africa,50914
Africa,51067
Africa,51213
Africa,51368
Africa,51530
Africa,51690
Africa,51847
Africa,51995
Africa,52136
Africa,52270
Africa,52399
Africa,52520
Africa,52658
Africa,52804
Africa,52940
Africa,53072
Africa,53325
Africa,53399
Africa,53584
Africa,53777
Africa,53998
Africa,54203
Africa,54402
Africa,54616
Africa,54829
Africa,55081
Africa,55357
Africa,55630
Africa,55880
Africa,56143
Africa,56419
Africa,56706
Africa,57026
Africa,57332
Africa,57651
Africa,57942
Africa,58272
Africa,58574
Africa,58979
Africa,59527
Africa,60169
Africa,60800
Africa,61381
Africa,62051
Africa,62693
Africa,63446
Africa,64257
Africa,65108
Africa,65975
Africa,66819
Africa,67679
Africa,68589
Africa,69591
Africa,70629
Africa,71652
Africa,72755
Africa,73774
Africa,74862
Africa,75867
Africa,77000
Africa,78025
Africa,79110
Africa,80168
Africa,81212
